first_name,last_name,gender,state,country,age,bib_number,Start,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Burrows In,Burrows Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
Kilian,Jornet,M,,ESP,28,1,0:00,1:53,1:53,3:27,3:27,4:14,4:14,5:53,5:54,6:34,6:35,9:07,9:12,10:35,10:39,11:54,12:00,13:29,13:33,14:31,14:39,15:27,15:37,18:34,18:43,20:42,20:46,22:21,22:21,23:28
Mike,Foote,M,MT,USA,32,128,0:00,2:01,2:01,3:38,3:38,4:25,4:25,6:06,6:06,6:52,6:52,9:22,9:24,10:36,10:56,12:20,12:24,14:16,14:17,15:26,15:30,16:29,16:33,20:28,20:33,22:43,22:45,24:39:00,24:39:00,25:45:00
Adam,Campbell,M,,CAN,36,2,0:00,1:53,1:53,3:27,3:27,4:14,4:14,5:53,5:54,6:34,6:34,9:19,9:20,11:07,11:09,12:37,12:40,14:49,14:51,16:00,16:01,17:05,17:06,20:32,20:34,23:19,23:22,25:31:00,25:32:00,26:49:00
Chris,Price,M,CA,USA,35,173,0:00,1:58,1:58,3:39,3:40,4:30,4:31,6:12,6:18,7:03,7:04,9:42,9:43,11:21,11:23,12:42,12:47,14:47,14:51,16:01,16:03,16:59,17:01,20:51,21:20,23:49,23:52,25:53:00,25:53:00,26:52:00
Troy,Howard,M,CO,USA,42,143,0:00,2:01,2:01,3:42,3:43,4:33,4:34,6:13,6:16,7:04,7:05,9:42,9:42,14:17,14:17,14:18,14:19,14:50,14:51,15:58,15:59,16:53,16:57,20:49,20:55,23:34,23:39,25:50:00,25:51:00,27:03:00
Brandon,Stapanowich,M,CO,USA,31,181,0:00,2:06,2:06,3:47,3:48,4:38,4:38,6:24,6:27,7:13,7:13,9:59,10:01,11:45,11:47,13:14,13:22,15:15,15:17,16:21,16:24,17:34,17:39,21:43,21:48,24:04:00,24:07:00,26:06:00,26:07:00,27:27:00
Benjamin,Lewis,M,UT,USA,37,152,0:00,2:06,2:06,3:46,3:47,4:38,4:39,6:25,6:28,7:14,7:14,9:58,10:00,11:45,11:47,13:18,13:28,15:27,15:30,16:45,16:49,18:00,18:05,21:43,21:49,24:31:00,24:35:00,26:40:00,26:41:00,27:55:00
Anna,Frost,F,NZ,USA,34,130,0:00,2:00,2:00,3:44,3:45,4:36,4:37,6:24,6:27,7:13,7:13,9:58,9:58,11:45,11:46,13:12,13:16,15:23,15:26,16:50,16:55,18:11,18:15,22:24,22:35,25:10:00,25:11:00,27:12:00,27:13:00,28:22:00
Iker,Karrera,M,,ESP,41,146,0:00,1:53,1:53,3:38,3:39,4:25,4:25,6:06,6:08,6:51,6:52,9:30,9:36,11:15,11:15,12:46,12:46,14:42,14:43,16:02,16:08,17:18,17:24,21:15,21:24,24:17:00,24:27:00,27:02:00,27:06:00,28:54:00
Darcy,Piceu,F,CO,USA,40,5,0:00,2:04,2:04,3:48,3:48,4:43,4:43,6:36,6:38,7:29,7:29,10:20,10:21,12:04,12:04,13:38,13:40,15:44,15:48,17:07,17:09,18:18,18:20,22:05,22:15,25:14:00,25:15:00,27:41:00,27:41:00,28:57:00
Brendan,Trimboli,M,CO,USA,27,184,0:00,2:03,2:03,3:41,3:41,4:33,4:34,6:14,6:17,7:01,7:03,9:42,9:42,11:23,11:26,13:03,13:12,15:23,15:38,17:00,17:06,18:27,18:44,22:52,23:01,25:50:00,25:58:00,28:10:00,28:10:00,29:25:00
Jared,Campbell,M,UT,USA,35,4,0:00,2:05,2:05,3:46,3:46,4:40,4:40,6:34,6:39,7:30,7:30,10:22,10:26,12:18,12:20,13:55,14:02,16:17,16:24,17:56,17:59,19:08,19:17,23:44,23:49,26:27:00,26:30:00,28:43:00,28:43:00,29:56:00
Nick,Coury,M,AZ,USA,28,117,0:00,2:17,2:17,4:02,4:03,5:03,5:04,6:57,6:59,7:51,7:54,10:39,10:39,12:31,12:31,12:31,12:31,16:51,16:55,18:17,18:21,19:20,19:28,23:53,24:00:00,26:39:00,26:41:00,29:04:00,29:04:00,30:25:00
Adam,Hewey,M,WA,USA,48,140,0:00,2:22,2:22,4:23,4:25,5:26,5:28,7:34,7:40,8:36,8:36,11:55,12:00,14:00,14:05,15:51,16:00,18:18,18:22,19:43,19:46,20:59,21:09,24:46:00,24:57:00,27:34:00,27:38:00,29:40:00,29:40:00,30:57:00
Matt,Hart,M,CO,USA,40,137,0:00,2:13,2:13,4:13,4:14,5:17,5:19,7:26,7:33,8:26,8:27,11:38,11:50,13:37,13:37,15:14,15:31,17:44,17:47,19:12,19:15,20:34,20:58,25:05:00,25:24:00,28:02:00,28:03:00,30:05:00,30:06:00,31:17:00
Bryon,Powell,M,UT,USA,37,172,0:00,2:16,2:16,4:10,4:10,5:08,5:08,7:02,7:04,7:59,7:59,10:59,10:59,12:50,12:51,14:17,14:33,16:46,16:49,18:29,18:35,19:52,20:01,24:10:00,24:20:00,27:21:00,27:22:00,30:04:00,30:07:00,31:30:00
Adam,Wilcox,M,NH,USA,34,188,0:00,2:18,2:18,4:10,4:10,5:03,5:04,6:59,7:02,7:51,7:52,10:59,11:03,12:53,12:55,14:32,14:40,16:57,17:00,18:25,18:27,19:47,19:53,24:24:00,24:30:00,27:39:00,27:39:00,30:10:00,30:10:00,31:34:00
Kevin,Davis,M,MT,USA,45,11,0:00,2:30,2:30,4:36,4:38,5:40,5:42,7:52,7:58,9:00,9:01,11:53,11:56,13:51,13:53,15:42,15:51,18:18,18:22,19:42,19:46,20:59,21:04,24:43:00,24:57:00,27:42:00,27:46:00,30:11:00,30:11:00,31:39:00
Jeason,Murphy,M,CO,USA,36,8,0:00,2:18,2:18,4:14,4:15,5:13,5:15,7:09,7:18,8:02,8:07,11:17,11:34,13:19,13:23,14:19,15:16,17:32,17:43,19:15,19:22,20:40,20:54,25:04:00,25:27:00,27:55:00,28:03:00,30:26:00,30:27:00,31:43:00
Darla,Askew,F,OR,USA,43,104,0:00,2:19,2:19,4:20,4:22,5:22,5:23,7:32,7:38,8:33,8:33,11:39,11:42,13:30,13:32,14:16,14:24,17:37,17:42,19:02,19:05,20:25,20:30,24:43:00,25:03:00,28:02:00,28:05:00,30:37:00,30:37:00,32:05:00
Karl,Meltzer,M,UT,USA,48,161,0:00,2:05,2:05,3:46,3:46,4:36,4:37,6:21,6:23,7:10,7:11,10:01,10:02,11:42,11:43,13:10,13:12,15:19,15:24,16:44,16:49,18:03,18:06,22:16,22:50,26:24:00,28:53:00,31:17:00,31:17:00,32:45:00
John,Anderson,M,CA,USA,37,102,0:00,2:01,2:01,3:47,3:47,4:40,4:41,6:34,6:38,7:27,7:28,10:35,10:42,12:36,12:37,14:22,14:34,16:53,16:58,18:46,18:56,20:43,21:52,25:05:00,26:12:00,29:09:00,29:17:00,31:40:00,31:46:00,33:18:00
Missy,Gosney,F,CO,USA,49,133,0:00,2:24,2:24,4:22,4:24,5:25,5:26,7:36,7:42,8:36,8:36,11:52,11:52,14:04,14:06,16:14,16:27,18:54,19:03,20:32,20:36,22:05,22:14,26:10:00,26:22:00,29:09:00,29:14:00,31:38:00,31:43:00,33:22:00
Ryan,Kircher,M,CO,USA,36,148,0:00,2:21,2:21,4:33,4:34,5:41,5:42,7:56,8:01,9:03,9:03,12:13,12:17,14:15,14:15,14:15,14:15,18:35,18:37,19:56,20:01,21:18,21:26,25:56:00,26:07:00,29:09:00,29:17:00,31:58:00,31:58:00,33:32:00
Kevin,Douglas,M,WA,USA,27,121,0:00,2:24,2:24,4:33,4:34,5:39,5:42,7:56,8:02,9:03,9:04,12:58,13:12,15:30,15:33,17:59,18:09,20:35,20:44,22:08,22:12,23:33,23:45,27:47:00,28:13:00,30:53:00,30:59:00,33:46:00,33:46:00,35:18:00
James,Varner,M,WA,USA,38,185,0:00,2:22,2:22,4:21,4:22,5:22,5:23,7:35,7:40,8:43,8:50,12:20,12:33,14:52,15:05,17:23,17:40,20:24,20:47,22:29,22:33,24:02:00,24:19:00,27:58:00,27:58:00,30:53:00,30:59:00,33:46:00,33:46:00,35:18:00
Mark,Oveson,M,CO,USA,48,169,0:00,2:26,2:26,4:31,4:33,5:34,5:40,7:49,8:03,9:00,9:00,12:52,13:06,15:28,15:33,17:51,18:10,20:49,20:57,22:28,22:33,23:49,24:07:00,28:24:00,28:35:00,31:33:00,31:40:00,34:00:00,34:04:00,35:24:00
Kelly,Lance,M,ID,USA,48,6,0:00,2:32,2:32,4:40,4:40,5:41,5:42,7:50,7:57,9:00,9:00,13:00,13:00,15:18,15:24,17:25,17:40,20:29,20:38,22:14,22:21,23:30,23:36,27:48:00,27:59:00,31:34:00,31:34:00,34:12:00,34:12:00,35:39:00
Maxim,Kazitov,M,WA,USA,40,147,0:00,2:19,2:19,4:26,4:27,5:30,5:32,7:43,7:52,8:42,8:43,12:31,12:43,14:45,14:49,15:55,17:07,20:12,20:36,22:09,22:12,23:37,23:58,28:33:00,28:47:00,31:49:00,31:54:00,34:23:00,34:23:00,35:43:00
David,Coblentz,M,NM,USA,53,10,0:00,2:35,2:35,4:41,4:42,5:43,5:44,7:52,8:01,9:00,9:01,12:33,12:41,14:54,15:00,17:30,17:42,20:34,20:41,22:11,22:18,23:52,24:05:00,28:34:00,28:40:00,31:46:00,31:48:00,34:20:00,34:22:00,35:45:00
Anthony,Culpepper,M,CO,USA,35,118,0:00,2:24,2:24,4:23,4:24,5:24,5:28,7:41,7:53,8:56,8:57,12:38,12:56,14:56,14:59,17:04,17:27,19:48,20:04,21:51,21:57,23:22,24:01:00,28:13:00,28:33:00,31:37:00,31:56:00,34:25:00,34:25:00,35:57:00
Mark,Mcdermott,M,OR,USA,53,160,0:00,2:27,2:27,4:26,4:28,5:26,5:27,7:31,7:46,8:35,8:35,11:52,12:05,14:15,14:15,14:15,14:15,19:47,19:50,21:19,21:25,23:00,23:20,27:53:00,28:19:00,31:29:00,31:40:00,34:30:00,34:30:00,36:21:00
Daniel,Benhammou,M,CO,USA,35,18,0:00,2:24,2:24,4:23,4:25,5:22,5:25,7:25,7:37,8:43,8:44,11:48,11:54,13:47,13:47,15:42,16:35,19:35,21:12,22:33,22:35,23:56,24:19:00,28:27:00,28:37:00,32:31:00,32:34:00,35:18:00,35:18:00,36:23:00
Mark,Christopherson,M,UT,USA,47,114,0:00,2:18,2:18,4:20,4:22,5:25,5:27,7:41,7:52,8:54,8:56,12:37,12:57,15:17,15:23,17:45,18:01,20:31,20:46,22:16,22:22,24:00:00,24:17:00,28:34:00,28:44:00,32:05:00,32:18:00,35:04:00,35:04:00,36:38:00
Mike,Ehredt,M,ID,USA,54,19,0:00,2:32,2:32,4:39,4:40,5:46,5:50,8:12,8:24,9:25,9:27,13:12,13:24,15:52,15:57,18:08,18:21,21:03,21:10,22:36,22:40,24:13:00,24:21:00,28:42:00,28:54:00,32:13:00,32:24:00,35:13:00,35:13:00,36:38:00
Michael,Evans,M,WY,USA,44,124,0:00,2:31,2:31,4:39,4:40,5:46,5:50,8:12,8:23,9:24,9:25,13:03,13:17,15:41,15:45,17:44,18:06,21:03,21:10,22:38,22:41,24:13:00,24:21:00,28:42:00,28:54:00,32:13:00,32:24:00,35:13:00,35:13:00,36:40:00
Jamil,Coury,M,AZ,USA,30,116,0:00,2:32,2:32,4:33,4:34,5:30,5:32,7:36,7:40,8:32,8:32,11:40,11:49,13:37,13:38,15:24,15:44,18:30,20:04,21:23,21:28,23:24,24:01:00,28:20:00,28:41:00,31:48:00,31:57:00,34:43:00,34:48:00,36:41:00
James,Gifford,M,WA,USA,53,13,0:00,2:38,2:38,4:50,4:53,6:00,6:03,8:21,8:28,9:26,9:29,13:11,13:18,15:28,15:32,17:45,17:56,20:29,20:38,22:10,22:13,23:47,24:01:00,28:14:00,28:20:00,31:38:00,31:44:00,34:50:00,34:51:00,36:44:00
Paul,Sweeney,M,CA,USA,49,17,0:00,2:41,2:44,4:53,4:57,6:01,6:03,8:22,8:45,9:43,9:48,13:55,14:21,16:33,16:39,18:37,42:57:00,21:41,21:50,21:41,21:50,24:42:00,24:53:00,29:02:00,29:37:00,33:01:00,33:09:00,35:36:00,35:36:00,36:44:00
Neal,Taylor,M,CO,USA,53,24,0:00,2:32,2:32,4:36,4:38,5:41,5:42,7:54,8:04,9:05,9:06,12:40,12:48,15:04,15:07,17:35,17:52,20:42,20:44,22:29,22:31,24:16:00,24:28:00,28:52:00,29:01:00,32:16:00,32:18:00,35:15:00,35:18:00,36:57:00
Clark,Sundahl,M,CO,USA,45,182,0:00,2:24,2:24,4:28,4:30,5:31,5:33,7:47,7:59,8:53,8:56,11:58,12:06,14:19,14:24,16:34,16:58,19:25,20:11,21:52,21:59,23:40,24:53:00,29:11:00,29:37:00,32:37:00,32:45:00,35:23:00,35:25:00,36:58:00
David,Pease,M,UT,USA,52,16,0:00,2:30,2:30,4:36,4:38,5:43,5:44,7:58,8:08,9:05,9:08,12:43,12:51,15:04,15:09,17:24,17:42,20:15,20:24,21:56,22:23,23:37,23:56,28:18:00,28:32:00,32:05:00,32:18:00,35:27:00,35:27:00,37:11:00
Drew,Gunn,M,CO,USA,41,12,0:00,2:41,2:41,4:48,4:49,5:50,5:51,8:03,8:08,9:04,9:04,12:45,12:46,15:12,15:18,17:28,17:39,20:16,20:25,22:15,22:20,23:52,24:06:00,24:07:00,24:08:00,31:56:00,32:02:00,35:18:00,35:18:00,37:16:00
Billy,Simpson,M,TN,USA,60,9,0:00,2:32,2:32,4:36,4:38,5:43,5:44,7:52,7:59,9:00,9:01,12:51,13:02,15:21,15:32,18:06,18:53,21:41,21:55,23:45,23:52,25:10:00,25:20:00,29:29:00,29:36:00,32:50:00,32:58:00,35:39:00,35:39:00,37:19:00
Robert,Youngren,M,AL,USA,41,191,0:00,2:41,2:41,5:14,5:25,6:36,6:39,9:10,9:25,10:26,10:27,14:33,14:38,17:10,17:15,19:31,19:49,19:50,19:51,24:00:00,24:06:00,25:20:00,26:41:00,29:41:00,29:49:00,32:56:00,33:08:00,35:46:00,35:46:00,37:22:00
Todd,Salzer,M,CO,USA,41,178,0:00,2:24,2:24,4:33,4:35,5:40,5:43,7:53,8:06,9:05,9:06,12:48,13:03,15:17,15:22,17:40,18:00,20:23,20:50,22:26,22:31,24:06:00,24:22:00,28:54:00,29:09:00,32:24:00,32:34:00,32:35:00,32:36:00,37:39:00
Tim,Adams,M,GB,USA,39,31,0:00,2:27,2:27,4:39,4:42,5:49,5:52,8:12,8:30,9:26,9:27,13:14,13:34,15:51,15:56,18:15,18:39,21:19,21:24,23:07,23:10,24:55:00,25:12:00,29:42:00,30:00:00,33:09:00,33:13:00,36:00:00,36:00:00,37:44:00
Ricky,Denesik,M,CO,USA,56,120,0:00,2:29,2:29,4:41,4:43,5:48,5:52,8:02,8:07,9:00,9:00,12:25,12:31,14:38,14:42,17:00,17:27,20:23,21:26,22:59,23:00,24:25:00,24:44:00,29:21:00,29:40:00,33:12:00,33:21:00,36:05:00,36:05:00,37:51:00
David,Town,M,OR,USA,37,183,0:00,2:32,2:32,4:53,4:56,5:59,6:00,8:23,8:31,9:31,9:33,13:24,13:32,15:52,15:54,17:47,18:00,20:23,20:26,22:07,22:09,23:42,24:02:00,28:33:00,28:39:00,32:41:00,32:41:00,36:10:00,36:10:00,37:53:00
Doug,Newton,M,CO,USA,39,26,0:00,2:36,2:36,4:44,4:46,5:50,5:52,8:12,8:23,9:23,9:25,12:57,13:09,15:34,15:37,18:05,18:23,21:14,21:31,22:50,22:55,24:40:00,25:00:00,29:34:00,29:43:00,32:56:00,32:59:00,36:03:00,36:04:00,37:54:00
Steve,Barge,M,VA,USA,49,105,0:00,2:40,2:40,4:59,5:00,6:14,6:17,8:51,9:03,10:04,10:05,13:51,14:08,16:33,16:41,19:15,19:32,22:08,22:15,24:04:00,24:11:00,25:29:00,26:44:00,30:01:00,30:15:00,33:23:00,33:32:00,36:14:00,36:14:00,37:56:00
Kari,Fraser,F,CO,USA,49,129,0:00,2:43,2:43,4:58,5:02,6:13,6:17,8:38,8:51,9:58,9:58,13:49,14:12,16:31,16:37,19:00,19:36,22:42,22:53,24:23:00,24:26:00,25:51:00,26:13:00,30:24:00,30:33:00,33:52:00,33:57:00,33:58:00,33:59:00,38:23:00
Betsy,Kalmeyer,F,CO,USA,54,22,0:00,2:28,2:28,4:39,4:42,5:48,5:52,8:11,8:24,9:23,9:25,12:53,13:10,15:34,15:43,18:13,18:35,21:58,22:14,24:12:00,24:22:00,25:45:00,26:05:00,30:32:00,30:56:00,34:19:00,34:25:00,37:05:00,37:05:00,38:36:00
Howie,Stern,M,CA,USA,46,14,0:00,2:32,2:32,4:42,4:47,5:50,5:53,8:12,8:21,9:20,9:23,12:43,12:52,15:12,15:20,17:29,17:39,20:38,20:56,23:00,23:10,24:48:00,25:08:00,29:50:00,30:12:00,30:13:00,30:14:00,37:08:00,37:08:00,38:39:00
Garrett,Peltonen,M,WI,USA,34,170,0:00,2:33,2:33,4:48,4:53,5:59,6:01,8:20,8:38,9:32,9:34,13:24,13:50,16:06,16:12,18:15,18:59,21:49,22:01,23:43,23:45,25:08:00,25:33:00,30:11:00,30:32:00,33:53:00,34:03:00,36:48:00,36:53:00,38:41:00
Meghan,Hicks,F,UT,USA,37,141,0:00,2:33,2:33,4:44,4:59,5:53,5:55,8:16,8:22,9:24,9:25,12:48,12:50,15:06,15:11,17:27,17:42,20:13,20:22,20:23,20:24,23:31,23:45,28:20:00,28:20:00,32:31:00,32:39:00,36:40:00,36:48:00,39:02:00
Kristen,Kern,M,NM,USA,51,34,0:00,2:38,2:38,4:58,5:00,6:01,6:04,8:22,8:38,9:36,9:39,13:21,13:38,15:56,16:04,18:32,19:21,21:49,21:57,23:38,23:45,25:07:00,25:43:00,30:15:00,30:31:00,34:02:00,34:19:00,37:15:00,37:15:00,39:11:00
Leah,Fein,F,CO,USA,35,127,0:00,2:51,2:51,5:11,5:15,6:27,6:29,8:52,9:03,10:04,10:04,13:55,13:55,16:24,16:25,16:26,16:27,21:36,21:42,18:40,19:00,25:05:00,25:26:00,29:57:00,30:13:00,33:58:00,34:03:00,37:10:00,37:10:00,39:21:00
Jason,Oliver,M,CO,USA,34,166,0:00,2:46,2:46,4:53,4:55,6:02,6:04,8:29,8:43,9:47,9:48,13:33,13:42,16:45,16:57,19:15,19:38,22:51,23:06,24:50:00,25:59:00,26:21:00,26:36:00,31:26:00,31:36:00,34:54:00,35:01:00,37:41:00,37:43:00,39:22:00
Pam,Reed,F,WY,USA,54,174,0:00,2:38,2:38,4:52,4:56,6:09,6:12,8:46,8:55,9:54,9:56,13:54,13:56,16:36,16:41,19:27,19:40,22:46,22:56,24:37:00,25:44:00,26:19:00,26:48:00,31:12:00,31:25:00,34:57:00,35:04:00,37:34:00,37:36:00,39:25:00
Will,Carlton,M,CO,USA,41,45,0:00,2:32,2:32,4:48,4:51,5:59,6:03,8:23,8:35,9:35,9:39,13:19,13:21,15:52,15:57,15:58,15:59,21:59,22:36,18:31,18:58,25:56:00,26:15:00,30:58:00,31:28:00,34:25:00,34:36:00,34:37:00,34:38:00,39:28:00
Andrew,Reiff,M,CO,USA,42,175,0:00,2:33,2:33,4:42,4:47,5:52,5:54,8:17,8:26,9:27,9:28,13:17,13:31,16:19,16:37,19:15,19:44,22:40,22:46,24:40:00,25:46:00,26:13:00,26:38:00,30:56:00,31:20:00,34:37:00,34:52:00,37:34:00,37:37:00,39:35:00
Scott,Kuhn,M,CO,USA,45,20,0:00,2:51,2:51,5:10,5:12,6:27,6:28,8:02,8:07,10:15,10:16,14:17,14:32,17:05,17:15,19:55,20:23,20:24,20:25,25:02:00,25:05:00,26:36:00,26:49:00,31:20:00,31:32:00,35:07:00,35:15:00,38:11:00,38:11:00,39:44:00
Christopher,Agbay,M,MA,USA,38,101,0:00,2:51,2:51,5:17,5:21,6:32,6:37,9:28,9:35,10:41,10:44,14:58,15:10,17:38,17:43,20:22,20:40,20:41,20:42,25:01:00,25:06:00,26:05:00,26:16:00,23:21,23:25,34:41:00,34:47:00,38:09:00,38:11:00,39:46:00
Scott,Mills,M,CA,USA,64,15,0:00,2:32,2:32,4:55,4:57,6:06,6:10,8:35,8:41,9:42,9:43,13:35,13:39,16:04,16:07,18:30,18:43,21:31,21:39,23:37,23:44,25:14:00,25:24:00,30:00:00,30:09:00,34:07:00,34:16:00,37:40:00,37:43:00,39:47:00
Shigeru,Furuta,M,,JPN,45,7,0:00,2:13,2:13,4:11,4:12,5:13,5:15,7:24,7:31,8:27,8:28,12:08,12:16,38:52:00,38:57:00,17:28,17:48,20:46,20:59,22:45,22:51,24:30:00,24:44:00,30:08:00,30:22:00,34:26:00,34:26:00,37:50:00,37:50:00,40:14:00
Betsy,Nye,F,CA,USA,51,35,0:00,2:35,2:35,4:48,4:50,5:59,6:02,8:28,8:42,9:44,9:48,13:50,14:03,16:33,16:37,19:06,19:20,19:21,19:22,24:24:00,25:45:00,26:11:00,26:29:00,30:59:00,31:09:00,34:43:00,34:56:00,37:58:00,38:04:00,40:16:00
Jim,Harris,M,OH,USA,51,136,0:00,2:51,2:51,5:31,5:34,6:56,7:01,9:44,10:00,11:05,11:08,15:10,15:18,15:19,15:20,17:41,17:46,23:24,23:38,25:12:00,25:16:00,26:38:00,26:50:00,31:26:00,31:36:00,35:04:00,35:12:00,38:26:00,38:31:00,40:22:00
Julian,Smith,M,CO,USA,49,48,0:00,2:38,2:38,4:58,5:00,6:13,6:19,8:48,9:01,10:01,10:03,13:50,14:09,16:24,16:33,19:00,19:20,21:50,22:00,23:44,23:47,25:20:00,25:42:00,30:54:00,31:16:00,35:05:00,35:16:00,38:34:00,38:34:00,40:56:00
Uwe,Herrmann,M,,DEU,52,139,0:00,3:08,3:08,5:44,5:50,7:14,7:20,10:12,10:33,11:41,11:43,16:03,16:16,18:47,19:11,21:33,22:07,25:05:00,25:14:00,26:38:00,26:41:00,28:04:00,28:30:00,28:31:00,28:32:00,36:18:00,36:32:00,39:17:00,39:20:00,41:13:00
Tom,Remkes,M,UT,USA,54,25,0:00,2:43,2:43,5:12,5:14,6:30,6:31,9:11,9:20,10:31,10:37,14:35,14:37,17:10,17:17,19:42,19:58,22:37,22:40,24:17:00,24:23:00,25:52:00,26:19:00,31:10:00,31:26:00,35:26:00,35:33:00,39:00:00,39:00:00,41:15:00
Paul,Smith,M,CO,USA,59,33,0:00,2:38,2:38,4:57,4:59,6:07,6:08,8:34,8:48,9:56,9:59,13:50,13:52,16:21,16:21,16:22,16:23,22:08,22:15,18:43,18:59,25:35:00,25:49:00,31:03:00,31:16:00,35:17:00,35:29:00,38:44:00,38:46:00,41:19:00
Kuni,Yamagata,M,CA,USA,62,42,0:00,3:09,3:09,5:44,5:46,7:02,7:04,9:42,9:52,10:59,10:59,15:13,15:33,15:34,15:35,20:32,20:54,23:39,23:48,23:49,23:50,26:58:00,27:10:00,32:05:00,32:17:00,36:01:00,36:15:00,39:18:00,39:20:00,41:23:00
Denis,Mikhaylov,M,NJ,USA,31,162,0:00,2:24,2:24,4:43,4:47,5:47,5:50,8:01,8:10,9:10,9:14,13:11,13:39,15:44,15:46,17:44,18:08,21:14,22:38,24:20:00,24:25:00,26:03:00,26:48:00,31:25:00,31:55:00,35:48:00,36:05:00,39:20:00,39:34:00,41:34:00
David,Braza,M,WA,USA,46,107,0:00,2:34,2:34,4:55,4:58,6:08,6:12,8:29,8:39,9:43,9:46,13:47,14:03,16:34,16:41,19:25,19:41,22:37,22:41,24:18:00,24:23:00,24:24:00,24:25:00,31:10:00,31:23:00,35:45:00,35:48:00,39:17:00,39:20:00,41:34:00
Clare,Abram,F,CA,USA,44,100,0:00,2:49,2:49,5:25,5:28,6:48,6:53,9:39,9:53,10:55,10:57,15:12,15:25,15:26,15:27,18:01,18:08,23:36,23:46,25:34:00,25:40:00,27:17:00,27:30:00,32:40:00,32:52:00,36:36:00,36:44:00,40:02:00,40:04:00,42:10:00
Greg,Salvesen,M,CO,USA,29,177,0:00,2:19,2:19,4:49,4:51,6:01,6:04,8:29,8:40,9:36,9:40,13:22,13:41,16:15,16:20,16:21,16:22,22:07,22:29,24:32:00,25:38:00,26:13:00,26:49:00,31:44:00,33:15:00,36:54:00,37:13:00,40:17:00,40:22:00,42:14:00
John,Liebeskind,M,OR,USA,55,153,0:00,2:49,2:49,5:17,5:22,6:35,6:38,9:18,9:32,10:35,10:44,14:47,15:02,17:32,17:39,20:20,20:40,23:36,23:50,25:29:00,25:37:00,27:11:00,27:35:00,32:35:00,32:50:00,36:28:00,36:44:00,39:56:00,40:01:00,42:22:00
Dave,Briggs,M,NV,USA,47,110,0:00,2:41,2:41,4:50,4:53,6:00,6:02,8:24,8:41,9:42,9:45,13:40,13:51,16:25,16:26,19:17,19:53,23:31,24:41:00,26:14:00,26:17:00,28:00:00,28:14:00,33:08:00,33:19:00,36:50:00,36:57:00,40:10:00,40:11:00,42:29:00
Jeff,List,M,MA,USA,56,28,0:00,2:50,2:50,5:15,5:20,6:39,6:45,9:34,9:45,10:52,10:54,15:12,15:26,15:27,15:28,20:36,20:58,23:58,24:08:00,25:57:00,26:00:00,27:38:00,27:51:00,27:52:00,27:53:00,36:49:00,36:58:00,40:15:00,40:22:00,42:35:00
Michael,Chu,M,NY,USA,32,115,0:00,2:36,2:36,5:05,5:09,6:22,6:27,7:36,7:40,10:14,10:16,14:46,15:17,15:18,15:19,20:17,22:04,24:52:00,25:10:00,26:45:00,26:50:00,27:52:00,28:13:00,28:14:00,28:15:00,37:01:00,37:19:00,40:28:00,40:33:00,42:54:00
